id	canonical_name	monoisotopic_mass	modification_rate	is_modification	encoding
251U	cmnm5s2U	347.07872085	1.0	true	$
2510U	nm5s2U	289.07324155	1.0	true	∫
2511U	mnm5s2U	303.08889161	1.0	true	S
2521U	mcm5s2U	332.06782182	1.0	true	3
253U	ncm5s2U	317.06815617	1.0	true	l
254U	tm5s2U	397.06135653	1.0	true	ƕ
2540U	cm5s2U	318.05217176	1.0	true	℘
2583U	inm5s2U	357.13584179	1.0	true	Ɲ
3U	m3U	258.08518614	1.0	true	δ
30U	acp3U	345.11721453	1.0	true	X
308U	acp3D	347.13286459	1.0	true	Ð
309U	acp3Y	345.11721453	1.0	true	Þ
39U	m3Y	258.08518614	1.0	true	Ƒ
5U	m5U	258.08518614	1.0	true	T
50U	ho5U	260.0644507	1.0	true	∝
501U	mo5U	274.08010076	1.0	true	5
502U	cmo5U	318.06993	1.0	true	V
503U	mcmo5U	332.08558006	1.0	true	υ
51U	cmnm5U	331.10156447	1.0	true	!
510U	nm5U	273.09608517	1.0	true	∪
511U	mnm5U	287.11173523	1.0	true	{
52U	cm5U	302.07501538	1.0	true	◊
520U	chm5U	318.06993	1.0	true	≥
521U	mcm5U	316.09066544	1.0	true	1
522U	mchm5U	332.08558006	1.0	true	ɮ
53U	ncm5U	301.09099979	1.0	true	&
531U	nchm5U	317.08591441	1.0	true	r
54U	tm5U	381.08420015	1.0	true	ʭ
55U	cnm5U	283.08043511	1.0	true	Ѷ
58U	m5D	260.1008362	1.0	true	ρ
583U	inm5U	341.15868541	1.0	true	¾
74U	s4U	260.04669246	1.0	true	4
8U	D	246.08518614	1.0	true	D
9U	Y	244.06953608	1.0	true	P
